[INFO] [1776169020.694464254] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=168.2 ms | preprocess=4.1 ms | infer=126.2 ms | post=37.9 ms | fps_avg=5.94 | fps_out=5.88 | last_total=168.3 ms | last_infer=126.2 ms | processed=536 | rgb_rx=566 | tir_rx=571 | dropped=61 | cuda_mem=1008/1780 MB
[INFO] [1776169025.741125027] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=168.1 ms | preprocess=4.1 ms | infer=126.0 ms | post=38.0 ms | fps_avg=5.95 | fps_out=5.75 | last_total=167.9 ms | last_infer=125.7 ms | processed=565 | rgb_rx=598 | tir_rx=603 | dropped=67 | cuda_mem=1008/1780 MB
[INFO] [1776169030.886167320] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=168.0 ms | preprocess=4.1 ms | infer=125.9 ms | post=38.1 ms | fps_avg=5.95 | fps_out=5.83 | last_total=168.7 ms | last_infer=126.6 ms | processed=595 | rgb_rx=629 | tir_rx=634 | dropped=69 | cuda_mem=1008/1780 MB
[INFO] [1776169035.955134034] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=168.2 ms | preprocess=4.1 ms | infer=126.1 ms | post=38.0 ms | fps_avg=5.94 | fps_out=5.52 | last_total=168.5 ms | last_infer=126.4 ms | processed=623 | rgb_rx=663 | tir_rx=669 | dropped=82 | cuda_mem=1008/1780 MB
[INFO] [1776169041.085210476] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=168.1 ms | preprocess=4.1 ms | infer=126.0 ms | post=38.1 ms | fps_avg=5.95 | fps_out=5.85 | last_total=167.2 ms | last_infer=125.1 ms | processed=653 | rgb_rx=694 | tir_rx=700 | dropped=84 | cuda_mem=1008/1780 MB
[INFO] [1776169046.252048202] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=168.2 ms | preprocess=4.1 ms | infer=126.1 ms | post=38.1 ms | fps_avg=5.95 | fps_out=5.81 | last_total=167.8 ms | last_infer=125.5 ms | processed=683 | rgb_rx=727 | tir_rx=733 | dropped=90 | cuda_mem=1008/1780 MB
[INFO] [1776169051.403639165] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=168.2 ms | preprocess=4.0 ms | infer=126.1 ms | post=38.0 ms | fps_avg=5.95 | fps_out=5.82 | last_total=167.6 ms | last_infer=125.6 ms | processed=713 | rgb_rx=758 | tir_rx=764 | dropped=92 | cuda_mem=1008/1780 MB
[INFO] [1776169056.558420466] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=168.5 ms | preprocess=4.1 ms | infer=126.4 ms | post=38.1 ms | fps_avg=5.93 | fps_out=5.63 | last_total=170.0 ms | last_infer=127.8 ms | processed=742 | rgb_rx=789 | tir_rx=797 | dropped=98 | cuda_mem=1008/1780 MB
[INFO] [1776169061.660168092] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=168.3 ms | preprocess=4.1 ms | infer=126.1 ms | post=38.1 ms | fps_avg=5.94 | fps_out=5.88 | last_total=168.4 ms | last_infer=125.7 ms | processed=772 | rgb_rx=820 | tir_rx=828 | dropped=100 | cuda_mem=1008/1780 MB
[INFO] [1776169066.759778631] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=167.5 ms | preprocess=4.1 ms | infer=125.3 ms | post=38.1 ms | fps_avg=5.97 | fps_out=5.88 | last_total=171.7 ms | last_infer=130.2 ms | processed=802 | rgb_rx=852 | tir_rx=860 | dropped=104 | cuda_mem=1008/1780 MB
[INFO] [1776169071.896443946] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=168.1 ms | preprocess=4.1 ms | infer=126.0 ms | post=38.0 ms | fps_avg=5.95 | fps_out=5.84 | last_total=167.6 ms | last_infer=125.8 ms | processed=832 | rgb_rx=883 | tir_rx=891 | dropped=106 | cuda_mem=1008/1780 MB
[INFO] [1776169077.038888407] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=168.9 ms | preprocess=4.1 ms | infer=126.7 ms | post=38.1 ms | fps_avg=5.92 | fps_out=5.83 | last_total=169.0 ms | last_infer=127.4 ms | processed=862 | rgb_rx=914 | tir_rx=922 | dropped=108 | cuda_mem=1008/1780 MB
[INFO] [1776169082.110500300] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=168.1 ms | preprocess=4.1 ms | infer=126.0 ms | post=37.9 ms | fps_avg=5.95 | fps_out=5.92 | last_total=166.5 ms | last_infer=124.3 ms | processed=892 | rgb_rx=945 | tir_rx=952 | dropped=109 | cuda_mem=1008/1780 MB
